date,exchange_rate,inflation,google_trends,disruption_score,arrivals_lag1,arrivals_lag2,arrivals_lag3,arrivals_lag12,exchange_rate_lag1,exchange_rate_lag2,inflation_lag1,inflation_lag2,trends_lag1,trends_lag2,disruption_lag1,month_sin,month_cos,is_peak_season,quarter,arrivals,split
2019-01-01,0.020063357972544993,0.030386740331491715,0.8425925925925924,0.0,1.0,0.7725353420047478,0.6048252353171202,0.9437332374816823,0.021647307286166817,0.000527983104540608,0.03314917127071823,0.03591160220994474,0.7314814814814815,0.6666666666666666,0.0,0.75,0.9330127018922194,1.0,0.0,244239,train
2019-02-01,0.011615628299894376,0.02762430939226519,0.7499999999999999,0.0,0.9647271190390609,1.0,0.7725353420047478,0.9306747666578452,0.020063357972544993,0.021647307286166817,0.030386740331491715,0.03314917127071823,0.8425925925925924,0.7314814814814815,0.0,0.9330127018922193,0.75,1.0,0.0,252033,train
2019-03-01,0.0,0.030386740331491715,0.7222222222222222,0.0,0.995512878748978,0.9647271190390609,1.0,0.921842721660235,0.011615628299894376,0.020063357972544993,0.02762430939226519,0.030386740331491715,0.7499999999999999,0.8425925925925924,0.0,1.0,0.5,1.0,0.0,244328,train
2019-04-01,0.001055966209081216,0.03314917127071823,0.9999999999999999,0.9,0.9650786628694668,0.995512878748978,0.9647271190390609,0.7126820424301554,0.0,0.011615628299894376,0.030386740331491715,0.02762430939226519,0.7222222222222222,0.7499999999999999,0.0,0.9330127018922194,0.2500000000000001,0.0,0.3333333333333333,166975,train
2019-05-01,0.009503695881731833,0.023480662983425413,0.287037037037037,0.6000000000000001,0.6595396750787024,0.9650786628694668,0.995512878748978,0.5113817252507219,0.001055966209081216,0.0,0.03314917127071823,0.030386740331491715,0.9999999999999999,0.7222222222222222,0.9,0.75,0.06698729810778065,0.0,0.3333333333333333,37802,train
2019-06-01,0.000527983104540608,0.024861878453038676,0.4444444444444444,0.30000000000000004,0.14931527951684448,0.6595396750787024,0.9650786628694668,0.5799604216945993,0.009503695881731833,0.001055966209081216,0.023480662983425413,0.03314917127071823,0.287037037037037,0.9999999999999999,0.6000000000000001,0.5000000000000001,0.0,0.0,0.3333333333333333,63072,train
2019-07-01,0.0015839493136220462,0.02762430939226519,0.4999999999999999,0.2,0.24913002776801269,0.14931527951684448,0.6595396750787024,0.8604094498141558,0.000527983104540608,0.009503695881731833,0.024861878453038676,0.023480662983425413,0.4444444444444444,0.287037037037037,0.30000000000000004,0.2500000000000001,0.06698729810778059,0.0,0.6666666666666667,115701,train
2019-08-01,0.008975712777191114,0.030386740331491715,0.6296296296296295,0.2,0.45701092945818805,0.24913002776801269,0.14931527951684448,0.7914041608569771,0.0015839493136220462,0.000527983104540608,0.02762430939226519,0.024861878453038676,0.4999999999999999,0.4444444444444444,0.2,0.06698729810778081,0.24999999999999978,0.0,0.6666666666666667,143587,train
2019-09-01,0.023231256599788863,0.03453038674033149,0.5740740740740741,0.2,0.5671586963648788,0.45701092945818805,0.24913002776801269,0.5888833150978201,0.008975712777191114,0.0015839493136220462,0.030386740331491715,0.02762430939226519,0.6296296296296295,0.4999999999999999,0.2,0.0,0.4999999999999999,0.0,0.6666666666666667,108575,train
2019-10-01,0.02798310454065478,0.03867403314917127,0.5092592592592592,0.2,0.42886372344165363,0.5671586963648788,0.45701092945818805,0.6048252353171202,0.023231256599788863,0.008975712777191114,0.03453038674033149,0.030386740331491715,0.5740740740740741,0.6296296296296295,0.2,0.0669872981077807,0.75,0.0,1.0,118734,train
2019-11-01,0.025343189017951517,0.04143646408839778,0.6203703703703703,0.2,0.46899106920673544,0.42886372344165363,0.5671586963648788,0.7725353420047478,0.02798310454065478,0.023231256599788863,0.03867403314917127,0.03453038674033149,0.5092592592592592,0.5740740740740741,0.2,0.24999999999999978,0.9330127018922192,0.0,1.0,176984,train
